adcode,name,longitude,latitude,x,y,xrev
520122,息烽县,106.740407,27.090479,10567.478562379376,3012.509642666374,-25073.122681126984
520123,修文县,106.592108,26.838926,10576.394137913887,2984.5364998459154,-25143.904119523708
520103,云岩区,106.724494,26.604688,10611.346806775338,2958.488815946384,-25182.54367949974
520203,六枝特区,105.476608,26.213108,10522.926354309622,2914.9444206673156,-25392.653027532688
520281,盘州市,104.471375,25.709852,10467.308871888417,2858.981454758529,-25602.200061825053
520221,水城县,104.95783,26.547904,10440.866928266232,2952.174333742168,-25370.773748525993
520201,钟山区,104.843555,26.574979,10427.035679370321,2955.1851220923927,-25376.14597135982
520304,播州区,106.829574,27.536298,10533.891618179865,3062.085511604826,-24963.778554545454
520381,赤水市,105.697472,28.590337,10320.539081242883,3179.296530695571,-24830.671245220154
520325,道真仡佬族苗族自治县,107.613133,28.862425,10480.275380450104,3209.5532021871977,-24579.563802580073
520327,凤冈县,107.716355,27.954695,10580.611191858292,3108.612005173385,-24780.96439310265
520302,红花岗区,106.8937,27.644754,10529.793582011847,3074.146012484306,-24932.779886062188
520303,汇川区,106.93427,27.750125,10523.625294844787,3085.8634558546282,-24904.728086574694
520328,湄潭县,107.465407,27.749055,10575.99950970153,3085.744469943834,-24852.7019653001
520382,仁怀市,106.40109,27.792514,10467.075234017557,3090.577188352417,-24947.47817183872
520323,绥阳县,107.191222,27.946222,10529.855368411774,3107.6697924423984,-24834.495013079715
520322,桐梓县,106.825198,28.133311,10475.66505889765,3128.4744233437873,-24827.236239756203
520326,务川仡佬族苗族自治县,107.898956,28.563086,10538.226672102332,3176.266170831048,-24622.09130128788
520330,习水县,106.197137,28.33127,10394.774047178991,3150.4878176566967,-24842.698098463097
520329,余庆县,107.905197,27.215491,10670.846634376077,3026.4112003113687,-24929.892673623963
520324,正安县,107.453945,28.553285,10495.7406764707,3175.1762821285347,-24667.85097695303
520424,关岭布依族苗族自治县,105.61933,25.94361,10561.450488797936,2884.9757618008816,-25436.90488769667
520403,平坝区,106.256412,26.405715,10583.118972724686,2936.3626630226845,-25272.81441020271
520422,普定县,105.743277,26.301565,10541.49929440441,2924.7809970328103,-25346.737325930208
520402,西秀区,105.965116,26.245315,10568.735155167922,2918.5258965822063,-25336.898693809817
520423,镇宁布依族苗族自治县,105.770283,26.058086,10566.24308106487,2897.7056974308075,-25397.048320768223
520425,紫云苗族布依族自治县,106.084441,25.751047,10625.24467543315,2863.5624123240864,-25431.76846522085
520521,大方县,105.613037,27.141735,10451.078311797462,3018.209401398751,-25173.19970462854
520527,赫章县,104.727418,27.123078,10365.170134620714,3016.134709681294,-25265.0527785753
520523,金沙县,106.220227,27.459214,10481.144429888745,3053.513633149104,-25041.39305028392
520525,纳雍县,105.382714,26.777645,10462.047222838233,2977.7219432110087,-25277.561838869588
520502,七星关区,105.30474,27.298458,10405.919106091535,3035.637278872885,-25168.271364280008
520522,黔西县,106.033544,27.007713,10505.243645252984,3003.305915663802,-25161.65542860117
520526,威宁彝族回族苗族自治县,104.253071,26.873806,10341.119460936494,2988.4152181342183,-25368.169198168205
520524,织金县,105.770542,26.663449,10511.090192315221,2965.023144081103,-25264.395095766966
520602,碧江区,109.263998,27.815927,10746.394302318076,3093.1807557630837,-24660.52856018333
520626,德江县,108.119807,28.263963,10589.66403313463,3143.003159060629,-24670.101570483836
520621,江口县,108.839557,27.69965,10716.088976187591,3080.250545716952,-24728.67152965986
520623,石阡县,108.223612,27.513829,10673.531280542325,3059.586918679944,-24831.394030906697
520624,思南县,108.253882,27.93755,10635.098788612324,3106.705450556041,-24732.090758460326
520628,松桃苗族自治县,109.202886,28.154071,10706.754337400405,3130.782972416757,-24589.305159270272
520603,万山区,109.213644,27.517896,10770.7747119696,3060.039176342746,-24732.8377882145
520627,沿河土家族自治县,108.50387,28.563927,10597.222460825242,3176.359691532896,-24562.814558104
520625,印江土家族苗族自治县,108.409751,27.994246,10644.817569492014,3113.0101470031063,-24703.795352025765
520622,玉屏侗族自治县,108.906411,27.235813,10767.892477357882,3028.671043002163,-24826.350839032704
522328,安龙县,105.442701,25.099014,10618.257067515708,2791.055178331041,-25634.34750400086
522327,册亨县,105.811592,24.983663,10665.43183158669,2778.2279411385493,-25621.286729185063
522323,普安县,104.953062,25.784135,10508.997609092423,2867.2418570122572,-25537.965358727146
522324,晴隆县,105.218991,25.834783,10531.122077844793,2872.874005058874,-25500.43374675084
522326,望谟县,106.099617,25.178421,10677.46324497937,2799.88537853515,-25551.572041666135
522322,兴仁县,105.186237,25.435183,10563.13737773637,2828.4377714577818,-25589.21072827196
522301,兴义市,104.895467,25.09204,10563.75186353464,2790.2796570769524,-25690.919378574137
522325,贞丰县,105.649864,25.38576,10614.044844014483,2822.941845598756,-25553.12091632397
522626,岑巩县,108.81606,27.173887,10764.938313416493,3021.7847612154233,-24849.08587409717
522633,从江县,108.905329,25.753009,10907.600039992409,2863.7805902278033,-25148.817496722135
522636,丹寨县,107.788727,26.19832,10754.962202144932,2913.299968659075,-25165.179917839247
522622,黄平县,107.916411,26.905396,10701.502749502126,2991.928082547278,-24997.80335344792
522629,剑河县,108.441501,26.728274,10770.390920961958,2972.2317998448434,-24984.746141796924
522628,锦屏县,109.200534,26.676233,10850.734139309021,2966.4447477106232,-24920.741942953067
522601,凯里市,107.97754,26.582963,10737.972141370197,2956.0729571501283,-25062.713546535553
522634,雷山县,108.07754,26.378442,10767.04594922397,2933.3298567188745,-25097.35790120258
522631,黎平县,109.136932,26.230706,10886.453385558569,2916.901349693622,-25023.69313387158
522635,麻江县,107.589359,26.491105,10707.938653665191,2945.8581835111668,-25121.421713836102
522624,三穗县,108.675267,26.952967,10772.210345428592,2997.218062699024,-24912.04267190509
522632,榕江县,108.52188,25.931893,10852.771662776371,2883.6728104767967,-25149.164523728083
522623,施秉县,108.124379,27.03292,10709.989376191363,3006.108979078173,-24948.9083773753
522630,台江县,108.321245,26.667525,10764.185175068444,2965.476402559977,-25010.02202707956
522627,天柱县,109.207751,26.909639,10829.151153694691,2992.3999117243784,-24868.813318901106
522625,镇远县,108.429534,27.049497,10738.629744580423,3007.952371081189,-24915.00230043927
522701,都匀市,107.518847,26.259427,10722.398397968956,2920.095176183254,-25178.874085624768
522726,独山县,107.545048,25.822132,10765.0821251431,2871.467191266863,-25270.324777567253
